IdRup;Rup;OficinaId;CoordenadaX;CoordenadaY;Huso;Latitud;Longitud;PesoContagio;PesoMasaEntrada;PesoMasaSalida;NivelVigilancia;ProtocoloLab;CantidadNegativosLab;CantidadPositivosLab;ProtocoloPc;CantidadNegativosPc;CantidadPositivosPc;TodosNegativosLab;AlMenosUnPositivoLab;TodosNegativosPc;AlMenosUnPositivoPc;CodigoTERubro;RiesgoMovimiento;TextoRiesgoMovimiento;PREDICCION
323889;04.2.02.0595;14;265604;6500502;19;-31.606750831415344;-71.47071743726303;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
106437;04.2.03.0069;14;297284;6465403;19;-31.92921945712196;-71.14428895584518;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
353372;04.2.03.0507;14;262497;6464431;19;-31.93123823272534;-71.5122167780654;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
103032;04.3.02.0074;13;293944;6566196;19;-31.019861460413775;-71.1586278421481;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
344456;04.3.02.0509;13;321663;6555505;19;-31.120805120524142;-70.87027324214056;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
134113;04.3.04.0138;13;284325;6586130;19;-30.838406581926478;-71.25510726895233;5;1;1;1;164253;2;0;0;0;0;1;0;0;0;12;S/I;S/I;4
337120;04.3.04.0426;13;280555;6596466;19;-30.74452232037545;-71.29228702435415;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
344287;04.3.04.0430;13;280419;6596376;19;-30.745308689007473;-71.29372593622169;5;1;1;2;163330;5;0;0;0;0;1;0;0;0;12;S/I;S/I;3
24046;04.2.04.0507;14;325290;6473367;19;-31.862061184859343;-70.84675480423638;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
355695;04.2.01.1263;14;290879;6485903;19;-31.743244000595688;-71.20759078193218;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
354868;04.2.02.0718;14;270172;6501934;18;-31.594764466627463;-77.42226984211972;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
99820;04.2.04.0594;14;346941;6469972;19;-31.895795903187196;-70.61851395553059;5;1;1;3;162400;18;0;0;0;0;1;0;0;0;12;S/I;S/I;1
115707;04.2.01.0674;14;303809;6503182;19;-31.589741196493268;-71.06771794319359;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
135478;04.2.01.0825;14;275705;6498424;19;-31.627498014875023;-71.3647978675659;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
156512;04.2.01.0891;14;295406;6473041;19;-31.86002215365481;-71.16253104138224;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
340595;04.2.01.1166;14;304930;6502086;19;-31.59981396059296;-71.056127023438;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
104371;04.2.02.0109;14;279305;6505689;19;-31.562701737476022;-71.32524067446263;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
302022;04.2.02.0578;14;277000;6504404;19;-31.573841818920197;-71.3497994670923;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
62139;04.2.04.0338;14;345015;6469783;19;-31.897239403621008;-70.6389034601284;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
129927;04.2.04.1033;14;318650;6460496;19;-31.97707870953215;-70.91931867168311;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
178255;04.2.04.1154;14;331774;6469010;19;-31.90232766568354;-70.77900032204353;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
245856;04.2.04.1294;14;317870;6463291;19;-31.951751829660825;-70.92704317839907;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
355264;04.2.04.1513;14;322021;6477560;18;-31.823745826939764;-76.88052626926192;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
357448;04.2.04.1546;14;306009;6480871;18;-31.7912808666799;-77.04896113642259;5;1;0;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
118592;04.3.01.0251;13;262921;6616010;19;-30.564943981130167;-71.47185974642126;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
116084;04.3.03.0279;13;336771;6595673;19;-30.760720895668108;-70.70544699517662;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
162492;04.3.01.0444;13;286110;6610945;19;-30.614980135106332;-71.23129306184403;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
193653;04.3.01.0566;13;286541;6601031;19;-30.704450263379;-71.22885108274566;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
337123;04.3.01.0785;13;279503;6598114;19;-30.729468931686746;-71.30291498764248;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
337415;04.3.01.0792;13;286539;6601079;19;-30.70401709926663;-71.22886199856872;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
337435;04.3.01.0794;13;275623;6597270;19;-30.736353260421232;-71.34359438381513;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
337438;04.3.01.0796;13;255589;6597289;19;-30.732235580473912;-71.55267495608487;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
337439;04.3.01.0797;13;285581;6611255;19;-30.612090142171226;-71.23674375250289;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
337450;04.3.01.0799;13;274060;6597864;19;-30.73070201755186;-71.35977755217398;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
340057;04.3.01.0805;13;281881;6604012;19;-30.676727927554285;-71.27684560696308;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
344330;04.3.01.0824;13;284499;6605375;19;-30.664914126947206;-71.24925046655201;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
126729;04.3.02.0124;13;310212;6550844;19;-31.161037262650428;-70.99118212120601;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
201352;04.3.02.0335;13;313715;6558342;19;-31.093984971447682;-70.95306221541684;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
232974;04.3.02.0346;13;303009;6537586;19;-31.279394270886005;-71.0693158367756;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
244728;04.3.02.0380;13;310926;6554134;19;-31.131484985467967;-70.9830770618319;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
335598;04.3.02.0478;13;316489;6540829;19;-31.252352183077704;-70.92718938196191;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
343083;04.3.02.0498;13;314775;6544015;19;-31.22335078481398;-70.94459181252087;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
343199;04.3.02.0500;13;310321;6551269;19;-31.15722248515965;-70.98995899900562;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
343751;04.3.02.0502;13;305599;6563860;19;-31.04290997116697;-71.03704661770632;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
158013;04.2.03.0289;14;277876;6441760;19;-32.13871039338047;-71.3548923646656;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
363701;04.2.02.0821;14;261952;6519401;18;-31.435648291678284;-77.50462923068574;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
80429;04.2.01.0041;14;329992;6515290;19;-31.484718160248352;-70.78980587371188;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
